school_name,campus_location,program_name,program_cost,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days,state
Tech Elevator,Columbus,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95.0,116,95.2,98.3,85.3,94.0,0.0,0.0,10.4,1.7,68000.0,67000.0,55.6,57.8,20.2,19.3,22.2,21.1,2.0,1.8,Ohio
Codeup,San Antonio,Full-Stack Web Development,22500.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,200.0,81,86.2,100.0,58.0,81.5,0.0,0.0,42.0,18.5,60000.0,62400.0,80.9,80.3,10.6,12.1,4.3,3.0,4.3,4.5,Texas
Codeup,San Antonio,Full-Stack Web Development-Java,22500.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2020,12/31/2020,170.0,38,80.9,100.0,36.8,63.2,0.0,2.6,63.2,34.2,62504.0,52000.0,78.5,90.4,7.1,3.2,14.3,6.5,0.0,0.0,Texas
Tech Elevator,Cincinnati,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95.0,64,95.5,100.0,87.5,93.7,0.0,0.0,10.9,4.7,60000.0,60000.0,89.3,89.9,7.1,6.7,3.6,3.4,0.0,0.0,Ohio
Code Platoon,Chicago,Full-Stack Web Development,15500.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,220.0,12,85.7,100.0,58.3,83.3,0.0,0.0,25.0,0.0,123000.0,105000.0,16.7,22.2,0.0,11.1,0.0,0.0,83.4,66.6,Illinois
Tech Elevator,Philadelphia,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95.0,58,93.5,100.0,63.8,86.2,3.4,3.4,24.1,1.7,75000.0,70000.0,5.4,8.0,5.4,12.0,27.0,28.0,62.2,52.0,Pennsylvania
Turing School of Software and Design,Online,Front End Engineering,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2021,6/30/2021,220.0,85,72.3,100.0,58.8,70.6,3.5,3.5,30.6,18.8,85000.0,80000.0,13.7,16.4,19.6,18.0,41.2,39.3,25.5,26.2,Online
Juno College of Technology,Toronto,Web Development Immersive,2000.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,77.0,110,95.8,99.0,37.1,70.1,5.2,6.2,57.7,23.7,60000.0,60000.0,84.2,82.6,10.5,8.7,0.0,1.4,5.3,7.2,Canada
The Tech Academy,Online,Software Developer BootCamp,9540.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,280.0,46,61.5,95.8,50.0,63.0,6.5,6.5,34.8,21.7,45760.0,57000.0,76.4,78.3,5.9,4.3,17.6,17.4,0.0,0.0,Online
The Tech Academy,Salt Lake City,Software Developer BootCamp,9540.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2020,12/31/2020,280.0,10,90.9,100.0,50.0,50.0,0.0,0.0,50.0,50.0,49920.0,49920.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Utah
Tech Elevator,Remote,Full-Stack Software Development,16500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95.0,93,88.6,100.0,66.7,89.2,0.0,0.0,25.8,3.3,69500.0,65000.0,50.0,59.0,19.4,15.7,9.6,9.6,21.0,15.7,Online
