school_name,campus_location,program_name,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days
The Tech Academy,Online,Boot Camp,1/1/2021,6/30/2021,Self-paced,14,90.9%,93.3%,57.1%,78.6%,14.3%,14.3%,28.6%,7.1%,"$24,000","$37,440",99.9%,99.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Codesmith,New York,Full-Stack Web Development,1/1/2021,6/30/2021,100,123,94.7%,96.9%,51.2%,89.4%,0.0%,0.0%,48.8%,10.6%,"$125,000","$124,000",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.1%
The Tech Academy,"Salt Lake City, Utah",Software Developer Bootcamp,7/1/2020,12/31/2020,Self-paced,10,90.9%,100.0%,50.0%,50.0%,0.0%,0.0%,50.0%,50.0%,"$49,920","$49,920",100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Tech Elevator,National Live Remote,Full-Stack Software Development,7/1/2021,12/31/2021,95,93,88.6%,100.0%,66.7%,89.2%,0.0%,0.0%,25.8%,3.3%,"$69,500","$65,000",50.0%,59.0%,19.4%,15.7%,9.6%,9.6%,21.0%,15.7%
Tech Elevator,Cleveland,Full-Stack Software Development,7/1/2021,12/31/2021,95,73,96.7%,83.0%,93.2%,94.5%,0.0%,1.4%,6.8%,4.1%,"$65,250","$65,500",73.6%,73.9%,17.6%,17.4%,8.8%,8.7%,0.0%,0.0%
Tech Elevator,Columbus,Full-Stack Software Development,1/1/2021,6/30/2021,95,47,96.3%,90.4%,85.1%,93.6%,0.0%,0.0%,14.9%,6.4%,"$63,050","$65,000",80.0%,77.2%,12.5%,11.4%,7.5%,11.4%,0.0%,0.0%
Code Chrysalis,"Tokyo, Japan",The Immersive Bootcamp,7/1/2020,12/31/2020,84,40,93.0%,88.9%,52.5%,72.5%,0.0%,0.0%,37.5%,17.5%,"$41,276","$42,382",80.0%,78.7%,5.0%,7.1%,15.0%,14.3%,0.0%,0.0%
Codeup,San Antonio - Vogue,Full-Stack Web Development,1/1/2021,6/30/2021,200,66,75.0%,100.0%,59.1%,84.8%,1.5%,1.5%,39.4%,13.6%,"$54,654","$55,750",89.4%,89.1%,2.6%,3.6%,5.3%,5.5%,2.6%,1.8%
"Codeup, LLC",Dallas,Full-Stack Web Development-Java,7/1/2020,12/21/2020,170,17,100.0%,100.0%,50.0%,75.0%,0.0%,0.0%,50.0%,25.0%,"$52,187","$50,000",100.0%,93.3%,0.0%,0.0%,0.0%,6.7%,0.0%,0.0%
Tech Elevator,Cincinnati,Full-Stack Software Development,1/1/2021,6/30/2021,95,34,89.7%,97.1%,64.8%,76.5%,5.8%,8.8%,14.7%,0.0%,"$60,000","$60,000",90.9%,92.3%,9.1%,7.7%,0.0%,0.0%,0.0%,0.0%
Codeup,Dallas,Full-Stack Web Development,7/1/2021,12/31/2021,200,17,89.5%,100.0%,58.8%,82.4%,0.0%,0.0%,41.2%,17.6%,"$60,000","$53,500",80.0%,78.6%,10.0%,7.1%,10.0%,14.3%,0.0%,0.0%
Code Platoon,Chicago,Full-Stack Web Development,1/1/2021,6/30/2021,120,55,91.8%,98.2%,64.2%,84.9%,0.0%,0.0%,34.0%,13.2%,"$88,500","$82,500",26.5%,26.1%,11.8%,10.9%,11.8%,17.4%,50.0%,45.7%
Launch Academy,Boston,Fundamentals of Web Development,7/1/2021,12/31/2021,90,15,57.7%,93.3%,64.3%,92.9%,0.0%,0.0%,35.7%,7.1%,"$70,000","$70,000",33.4%,46.1%,33.3%,23.1%,33.3%,23.1%,0.0%,7.7%
Codeup,San Antonio - Vogue,Data Science,1/1/2021,6/30/2021,200,36,94.7%,100.0%,63.9%,86.1%,2.8%,2.8%,33.3%,11.1%,"$61,662","$65,000",56.5%,64.5%,13.0%,9.7%,21.7%,19.4%,8.7%,6.5%
Tech Elevator,Pittsburgh,Full-Stack Software Development,7/1/2021,12/31/2021,95,100,95.2%,100.0%,84.0%,91.0%,3.0%,3.0%,10.0%,3.0%,"$66,250","$65,000",26.2%,71.5%,44.0%,25.3%,26.2%,3.2%,3.6%,0.0%
Codesmith,Central Remote Immersive,Full-Stack Web Development,7/1/2021,12/31/2021,100,62,95.7%,93.9%,46.8%,82.3%,0.0%,0.0%,53.2%,17.7%,"$137,000","$130,000",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%
Turing School of Software and Design,Online,Back End Engineering,7/1/2021,12/31/2021,220,47,48.1%,100.0%,55.4%,78.6%,0.0%,0.0%,39.3%,16.1%,"$88,680","$86,500",0.0%,0.0%,13.3%,16.3%,36.7%,32.6%,50.0%,51.2%
Codesmith,East Coast Remote,Full-Stack Web Development,7/1/2021,12/31/2021,100,91,92.8%,96.8%,52.7%,83.5%,0.0%,0.0%,47.3%,16.5%,"$139,450","$140,000",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%
The Tech Academy,Online,Python Developer Boot Camp,1/1/2021,6/30/2021,Self-paced,16,78.3%,100.0%,56.3%,68.8%,0.0%,0.0%,31.3%,18.8%,$0,"$52,000",100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
