school_name,campus_location,program_name,program_cost,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days,state
Tech Elevator,Cleveland,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,95,31,94.70,86.10,74.20,83.90,0.00,0.00,16.10,6.40,"55,000","55,000",100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,Ohio
Tech Elevator,Columbus,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95,116,95.20,98.30,85.30,94.00,0.00,0.00,10.40,1.70,"68,000","67,000",55.60,57.80,20.20,19.30,22.20,21.10,2.00,1.80,Ohio
Codeup,San Antonio,Full-Stack Web Development,"22,500.00",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,200,81,86.20,100.00,58.00,81.50,0.00,0.00,42.00,18.50,"60,000","62,400",80.90,80.30,10.60,12.10,4.30,3.00,4.30,4.50,Texas
Codeup,San Antonio,Full-Stack Web Development-Java,"22,500.00",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2020,12/31/2020,170,38,80.90,100.00,36.80,63.20,0.00,2.60,63.20,34.20,"62,504","52,000",78.50,90.40,7.10,3.20,14.30,6.50,0.00,0.00,Texas
Tech Elevator,Cincinnati,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95,64,95.50,100.00,87.50,93.70,0.00,0.00,10.90,4.70,"60,000","60,000",89.30,89.90,7.10,6.70,3.60,3.40,0.00,0.00,Ohio
Code Platoon,Chicago,Full-Stack Web Development,"15,500.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,220,12,85.70,100.00,58.30,83.30,0.00,0.00,25.00,0.00,"123,000","105,000",16.70,22.20,0.00,11.10,0.00,0.00,83.40,66.60,Illinois
Codesmith,Remote,Full-Stack Web Development,"20,925.00",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,100,110,91.90,94.00,40.00,80.90,0.00,0.00,60.00,19.10,"129,000","128,000",0.00,0.00,0.00,0.00,0.00,0.00,100.00,99.90,
Tech Elevator,Philadelphia,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95,58,93.50,100.00,63.80,86.20,3.40,3.40,24.10,1.70,"75,000","70,000",5.40,8.00,5.40,12.00,27.00,28.00,62.20,52.00,Pennsylvania
Turing School of Software and Design,Online,Front End Engineering,"25,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2021,6/30/2021,220,85,72.30,100.00,58.80,70.60,3.50,3.50,30.60,18.80,"85,000","80,000",13.70,16.40,19.60,18.00,41.20,39.30,25.50,26.20,
Juno College of Technology,Toronto,Web Development Immersive,"2,000.00",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,77,110,95.80,99.00,37.10,70.10,5.20,6.20,57.70,23.70,"60,000","60,000",84.20,82.60,10.50,8.70,0.00,1.40,5.30,7.20,Canada
The Tech Academy,Online,Software Developer BootCamp,"9,540.00",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,Self-paced,46,61.50,95.80,50.00,63.00,6.50,6.50,34.80,21.70,"45,760","57,000",76.40,78.30,5.90,4.30,17.60,17.40,0.00,0.00,
The Tech Academy,Online,Front-End Web Developer BootCamp,"9,540.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,Self-paced,14,90.90,93.30,57.10,78.60,14.30,14.30,28.60,7.10,"24,000","37,440",99.90,99.90,0.00,0.00,0.00,0.00,0.00,0.00,
Codesmith,New York,Full-Stack Web Development,"20,925.00",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,100,123,94.70,96.90,51.20,89.40,0.00,0.00,48.80,10.60,"125,000","124,000",0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.10,New York
The Tech Academy,Salt Lake City,Software Developer BootCamp,"9,540.00",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2020,12/31/2020,Self-paced,10,90.90,100.00,50.00,50.00,0.00,0.00,50.00,50.00,"49,920","49,920",100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,Utah
Tech Elevator,Remote,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95,93,88.60,100.00,66.70,89.20,0.00,0.00,25.80,3.30,"69,500","65,000",50.00,59.00,19.40,15.70,9.60,9.60,21.00,15.70,
Tech Elevator,Cleveland,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95,73,96.70,83.00,93.20,94.50,0.00,1.40,6.80,4.10,"65,250","65,500",73.60,73.90,17.60,17.40,8.80,8.70,0.00,0.00,Ohio
Tech Elevator,Columbus,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,95,47,96.30,90.40,85.10,93.60,0.00,0.00,14.90,6.40,"63,050","65,000",80.00,77.20,12.50,11.40,7.50,11.40,0.00,0.00,Ohio
Code Chrysalis,Tokyo,The Immersive Bootcamp,"9,700.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2020,12/31/2020,84,40,93.00,88.90,52.50,72.50,0.00,0.00,37.50,17.50,"41,276","42,382",80.00,78.70,5.00,7.10,15.00,14.30,0.00,0.00,Japan
Codeup,San Antonio - Vogue,Full-Stack Web Development,"22,500.00",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,200,66,75.00,100.00,59.10,84.80,1.50,1.50,39.40,13.60,"54,654","55,750",89.40,89.10,2.60,3.60,5.30,5.50,2.60,1.80,Texas
Codeup,Dallas,Full-Stack Web Development-Java,"22,500.00",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2020,12/21/2020,170,17,100.00,100.00,50.00,75.00,0.00,0.00,50.00,25.00,"52,187","50,000",100.00,93.30,0.00,0.00,0.00,6.70,0.00,0.00,Texas
Tech Elevator,Cincinnati,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,95,34,89.70,97.10,64.80,76.50,5.80,8.80,14.70,0.00,"60,000","60,000",90.90,92.30,9.10,7.70,0.00,0.00,0.00,0.00,Ohio
Codeup,Dallas,Full-Stack Web Development,"22,500.00",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,200,17,89.50,100.00,58.80,82.40,0.00,0.00,41.20,17.60,"60,000","53,500",80.00,78.60,10.00,7.10,10.00,14.30,0.00,0.00,Texas
Code Platoon,Chicago,Full-Stack Web Development,"15,500.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2021,6/30/2021,120,55,91.80,98.20,64.20,84.90,0.00,0.00,34.00,13.20,"88,500","82,500",26.50,26.10,11.80,10.90,11.80,17.40,50.00,45.70,Illinois
Launch Academy,Boston,Fundamentals of Web Development,"17,500.00",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,90,15,57.70,93.30,64.30,92.90,0.00,0.00,35.70,7.10,"70,000","70,000",33.40,46.10,33.30,23.10,33.30,23.10,0.00,7.70,Massachusetts
Codeup,San Antonio - Vogue,Data Science BootCamp,"22,500.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1/1/2021,6/30/2021,200,36,94.70,100.00,63.90,86.10,2.80,2.80,33.30,11.10,"61,662","65,000",56.50,64.50,13.00,9.70,21.70,19.40,8.70,6.50,Texas
Tech Elevator,Pittsburgh,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95,100,95.20,100.00,84.00,91.00,3.00,3.00,10.00,3.00,"66,250","65,000",26.20,71.50,44.00,25.30,26.20,3.20,3.60,0.00,Pennsylvania
Codesmith,Remote,Full-Stack Web Development,"20,925.00",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,100,62,95.70,93.90,46.80,82.30,0.00,0.00,53.20,17.70,"137,000","130,000",0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,
Turing School of Software and Design,Online,Back End Engineering,"25,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/1/2021,12/31/2021,220,47,48.10,100.00,55.40,78.60,0.00,0.00,39.30,16.10,"88,680","86,500",0.00,0.00,13.30,16.30,36.70,32.60,50.00,51.20,
