school_name,campus_location,program_name,program_cost,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,reporting_start,reporting_end,course_length,graduates_included,graduated_ontime,intend_infield_employment,employed_infield_90days,employed_infield_180days,not_seeking_infield_90days,not_seeking_infield_180days,still_seeking_infield_90days,still_seeking_infield_180days,median_annual_salary90days,median_annual_salary180days,under70K_90days,under70K_180days,salary_70K_80K_90days,salary_70K_80K_180days,salary_80K_90K_90days,salary_80K_90K_180days,over90K_90days,over90K_180days,state
The Tech Academy,Online,Front-End Web Developer BootCamp,"9,540.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,Self-paced,9,86.70,100.00,77.80,88.90,0.00,0.00,22.20,11.10,"37,440","39,720",100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,
The Tech Academy,Online,C# and .NET Boot Camp,"9,540.00",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,Self-paced,13,88.50,100.00,69.20,69.20,7.70,7.70,15.40,15.40,"37,440","55,016",100.10,100.10,0.00,0.00,0.00,0.00,0.00,0.00,
Codesmith,Remote,Full-Stack Web Development,"20,925.00",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,270,40,93.50,93.00,60.00,87.50,0.00,0.00,40.00,12.50,"126,000","137,600",0.00,0.00,0.00,0.00,0.00,0.00,100.00,99.90,
Tech Elevator,Wilmington,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/1/2021,12/31/2021,95,7,70.00,100.00,28.50,42.80,28.60,28.60,28.60,14.30,"65,000","70,000",50.00,33.30,50.00,66.70,0.00,0.00,0.00,0.00,Delaware
Tech Elevator,Cleveland,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,95,39,89.70,100.00,62.90,77.10,0.00,0.00,37.10,22.90,"64,250.00","60,000.00",63.60,71.40,22.70,17.90,9.10,7.10,4.50,3.60,Ohio
Codeup,Dallas,Full-Stack Web Development-Java,"22,500.00",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,200,21,87.50,100.00,76.20,76.20,0.00,0.00,23.80,23.80,"62,700.00","57,120.00",75.00,81.30,0.00,0.00,0.00,6.30,25.00,12.50,Texas
Launch Academy,Boston,Fundamentals of Web Development,"17,500.00",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,90,23,59.00,100.00,69.60,82.60,0.00,0.00,30.40,17.40,"78,750.00","72,500.00",37.60,42.10,12.50,10.50,18.80,15.80,31.30,31.60,Massachusetts
Tech Elevator,Columbus,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,95,47,89.30,90.40,78.70,87.20,0.00,0.00,21.30,12.80,"69,250.00","69,250.00",50.00,50.00,34.20,31.00,10.50,14.30,5.30,4.80,Ohio
Tech Elevator,Wilmington,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,95,24,83.30,100.00,45.00,70.00,0.00,0.00,55.00,30.00,"74,000.00","74,000.00",37.50,41.70,25.00,16.70,25.00,33.30,12.50,8.30,Delaware
Tech Elevator,Pittsburgh,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,95,42,95.70,93.30,64.30,81.00,2.40,2.40,33.30,16.70,"62,500.00","62,000.00",82.10,80.00,14.30,17.10,3.60,2.90,0.00,0.00,Pennsylvania
Codeup,San Antonio - Vogue,Full-Stack Web Development,"22,500.00",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,200,101,79.50,100.00,45.00,73.80,1.30,1.30,53.80,25.00,"57,491.00","56,160.00",79.20,77.60,6.90,8.20,3.40,6.10,10.30,8.20,Texas
Tech Elevator,Philadelphia,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,95,40,90.00,100.00,66.70,80.60,0.00,0.00,33.30,19.40,"70,000.00","70,500.00",47.80,42.90,26.10,21.40,8.70,7.10,8.70,7.10,Pennsylvania
Code Platoon,Chicago,Full-Stack Web Development,"15,500.00",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,120,65,93.00,98.50,48.40,77.40,0.00,0.00,51.60,22.60,"90,000.00","85,500.00",27.50,34.00,3.40,4.00,17.20,16.00,51.70,46.00,Illinois
Codeup,San Antonio - Vogue,Data Science BootCamp,"22,500.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1/1/2022,6/30/2022,200,40,81.60,100.00,77.50,85.00,0.00,0.00,22.50,15.00,"73,000.00","73,000.00",34.50,29.40,34.50,41.20,6.90,5.90,24.10,20.60,Texas
Turing School of Software and Design,Online,Front End Engineering,"25,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2022,6/30/2022,220,85,67.60,100.00,61.90,77.40,0.00,0.00,35.70,20.20,"90,000.00","90,000.00",15.10,16.70,3.80,7.60,20.80,18.20,56.60,53.00,
Tech Elevator,Remote,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,95,136,95.30,71.70,69.00,83.10,0.00,0.00,31.00,16.90,"62,400.00","61,200.00",69.10,69.20,18.20,15.40,7.30,9.20,5.50,6.20,
Tech Elevator,Cincinnati,Full-Stack Software Development,"16,500.00",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/1/2022,6/30/2022,95,21,85.70,100.00,88.90,94.40,0.00,0.00,11.10,5.60,"67,500.00","65,000.00",50.00,53.00,50.00,47.10,0.00,0.00,0.00,0.00,Ohio
Turing School of Software and Design,Online,Back End Engineering,"25,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2022,6/30/2022,220,75,62.10,100.00,66.70,74.70,0.00,0.00,30.70,22.70,"87,250.00","85,000.00",14.00,16.10,10.00,10.70,26.00,25.00,48.00,44.60,
